fen,eval
2brrb2/8/p7/7Q/1p1kpPp1/1P1pN1K1/3P4/8 w - -,56
2N2B2/2N1r3/8/3nQ2R/1k6/8/2B5/R3K3 w Q -,-40
3N3K/B2bRB2/1Qp4p/1R1pppp1/1P2k3/r3pNP1/2P1P3/b2r3q w - -,-4
3R4/8/8/2p3K1/2p5/5B2/R1pPNB2/1b1k4 w - -,70
5R2/1N3p2/3pk3/6PR/3Q4/B3K3/8/8 w - -,41
6rk/PP1PPPnp/1N1BN2P/7R/4B3/2Q5/P3KP2/6R1 w - -,152
7B/5R2/3p3N/3P4/1K2k2r/4N3/4Q3/8 w - -,28
8/3R4/b2p3p/2p3nk/1p2N1p1/p2BP3/r2PN1P1/3K4 w - -,-49
8/5R2/2K1P3/4k3/8/b1PPpp1B/5p2/8 w - -,164
8/7B/2R5/4Nr1p/4kb1Q/8/1B6/4K2R w K -,214
8/8/8/2p1R3/1p3p2/1p1k1p2/1B5p/1K2Q3 w - -,130
8/8/8/8/8/8/4QRb1/R3K2k w Q -,80
8/p4P1K/rb1N2Bp/p3P3/N3R1P1/1P1k1P2/1Pbrnp2/2R2Q2 w - -,20
n1N3br/2p1Bpkr/1pP2R1b/pP3Pp1/P5P1/1P1p4/p2P4/K7 w - -,-12
n7/2r5/1r4R1/4n3/2R1Q1P1/3P1pK1/4N3/7k w - -,40
r5r1/1R4b1/1Q6/4nk1p/2p1R3/2P3PK/2BB4/q7 w - -,139
rn2N3/8/4R2b/B3R3/3kP1N1/K2n4/8/1q6 w - -,-87
1K3RQ1/ppn3p1/r3N1pq/2pN4/2b1kPB1/b5r1/8/2BR4 w - -,-59
1N3B2/5p2/2R2p2/1p1kpp2/1P2rp2/2P1pB2/2P1P1K1/8 w - -,48
1r4k1/8/5PP1/K7/6NR/7B/1r6/7R w - -,195
1r5k/4NP1b/7K/8/6R1/8/8/8 w - -,50
2K4N/3PP1k1/5N2/6n1/8/8/8/8 w - -,-35
2k5/2N5/1PKP4/2P5/8/8/8/8 w - -,-4
2q5/4B2p/7n/4p1pk/P2n1b2/R3P2P/2r3P1/1Q3R1K b - -,-21
2rB4/1b1n1pp1/pn4Rp/1Q2NB2/2pK1k1r/3RN1pr/4P3/8 w - -,99
3K4/pp3B2/qrk5/bp2B3/1p1P4/1P6/5P2/8 w - -,51
4R3/1k6/bp6/1p1P4/1K6/8/1B6/3Q4 w - -,-54
5n2/KR2p3/2pp4/k2p4/P7/pPpN2Bb/5pp1/5rq1 w - -,61
8/1B6/8/5p2/8/8/5Qrq/1K1R2bk w - -,-45
8/3K2p1/p7/2pkpB1p/2pbNp2/2p4r/2n1P3/3Qq1n1 w - -,-49
8/3P2P1/3N4/3k4/4N3/4K3/8/8 w - -,-90
8/4p3/7R/n7/rp6/kp5Q/8/1K6 w - -,107
8/5p2/3N4/1BPp1P2/1Bpk1Pp1/2p2pP1/2p2K2/2N5 w - -,25
8/8/2p5/8/2P1p1Pp/1P2Pk1P/rpB1bP2/b2Q2K1 w - -,-78
