fen,wdl_stockfish,game_result
"r1bq3r/pp2bkpp/3ppn2/8/3p4/2P2N2/PPQ2PPP/RNB2RK1 b - -",0.511107,0.5
"r1bq1r2/pp2bkpp/3ppn2/8/3p4/2P2N2/PPQ2PPP/RNB2RK1 w - -",0.49596,0.5
"r1bq1rk1/pp2b1pp/3ppn2/6N1/3p4/2P5/PPQ2PPP/RNB2RK1 w - -",0.432746,0.5
"r1bq1rk1/pp2b1pp/3ppn2/6N1/3p4/2P5/PPQ2PPP/RNB1R1K1 b - -",0.561294,0.5
"r1bq1rk1/pp2b1pp/4pn2/3p2N1/3p4/2P5/PPQ2PPP/RNB1R1K1 w - -",0.507069,0.5
"r2q1rk1/pp2b1pp/4R3/3p4/3pn3/2P5/PPQ2PPP/RNB3K1 w - -",0.319644,0.5
"r2q1r1k/pp2b1pp/8/8/3pp3/1QP5/PP3PPP/RNB3K1 w - -",0.223705,0.5
"r4r1k/pp2b1pp/8/8/3qp3/1Q2B3/PP3PPP/RN4K1 b - -",0.753048,0.5
"r4r1k/pp2b1pp/8/4q3/4p3/1Q2B3/PP3PPP/RN4K1 w - -",0.245452,0.5
"r4r1k/pp2b1pp/8/4q3/4p3/1QN1B3/PP3PPP/R5K1 b - -",0.76487,0.5
"r4r1k/p3b1pp/1p6/4q3/4p3/1QN1B3/PP3PPP/R5K1 w - -",0.237316,0.5
"r4r1k/p3b1pp/1p6/4q3/4p2P/1QN1B3/PP3PP1/R5K1 b - h3",0.824505,0.5
"3r1r1k/p3b1pp/1p6/4q3/4p2P/1QN1B3/PP3PP1/R5K1 w - -",0.234404,0.5
"3r1r1k/p3b1pp/1p6/4q3/Q3p2P/2N1B3/PP3PP1/R5K1 b - -",0.777695,0.5
"3r1r1k/p5pp/1p1b4/4q3/Q3p2P/2N1B3/PP3PP1/R5K1 w - -",0.230799,0.5
"3r1r1k/p5pp/1p1b4/4q3/Q3p2P/2N1B1P1/PP3P2/R5K1 b - -",0.775593,0.5
"3r1r1k/p5pp/1p6/2b1q3/Q3p2P/2N1B1P1/PP3P2/R5K1 w - -",0.225817,0.5
"3r1r1k/p5pp/1p6/8/Q2qN2P/6P1/PP3P2/R5K1 w - -",0.227232,0.5
"3r1r1k/p5pp/1p6/8/3qN2P/6P1/PPQ2P2/R5K1 b - -",0.760484,0.5
"2r2r1k/p5pp/1p6/8/3qN2P/6P1/PPQ2P2/R5K1 w - -",0.229367,0.5
"2r2r1k/p5pp/1p6/8/3q3P/2N3P1/PPQ2P2/R5K1 b - -",0.756785,0.5
"2r2r1k/p5pp/1p6/8/2q4P/2N3P1/PPQ2P2/R5K1 w - -",0.243959,0.5
"2r2r1k/p5pp/1p6/8/2q4P/2N3P1/PPQ2P1K/R7 b - -",0.83141,0.5
"2r4k/p5pp/1p6/8/2q4P/2N2rP1/PPQ2P1K/R7 w - -",0.261501,0.5
"2r4k/p5pp/1p6/8/2q4P/2N2rP1/PPQ2P1K/3R4 b - -",0.737718,0.5
"2r4k/p5pp/1p6/2q5/7P/2N2rP1/PPQ2P1K/3R4 w - -",0.290541,0.5
"2r4k/p5pp/1p6/2q5/7P/2N2rP1/PPQR1P1K/8 b - -",0.736152,0.5
"5r1k/p5pp/1p6/2q5/7P/2N2rP1/PPQR1P1K/8 w - -",0.310059,0.5
"5r1k/p5pp/1p6/2q5/7P/2N2rP1/PPQR1PK1/8 b - -",0.689941,0.5
"5r1k/p5p1/1p5p/2q5/7P/2N2rP1/PPQR1PK1/8 w - -",0.371649,0.5
"5r1k/p5p1/1p5p/2qN4/7P/5rP1/PPQR1PK1/8 b - -",0.637735,0.5
"5r1k/p4rp1/1p5p/3N4/7P/6P1/PPR2PK1/8 w - -",0.357612,0.5
"5r1k/p4rp1/1p5p/8/5N1P/6P1/PPR2PK1/8 b - -",0.64146,0.5
"4r2k/p4rp1/1p5p/8/5N1P/6P1/PPR2PK1/8 w - -",0.369764,0.5
"4r1k1/p4rp1/1p4Np/8/7P/6P1/PPR2PK1/8 w - -",0.386863,0.5
"4r1k1/p4rp1/1p4Np/8/7P/P5P1/1PR2PK1/8 b - -",0.648858,0.5
"4r1k1/p2r2p1/1p4Np/8/7P/P5P1/1PR2PK1/8 w - -",0.3604,0.5
"4r1k1/p2r2p1/1p4Np/7P/8/P5P1/1PR2PK1/8 b - -",0.631177,0.5
"4r1k1/3r2p1/1p4Np/p6P/8/P5P1/1PR2PK1/8 w - a6",0.382083,0.5
"4r1k1/3r2p1/1pR3Np/p6P/8/P5P1/1P3PK1/8 b - -",0.648858,0.5
"4r1k1/6p1/1pR3Np/p2r3P/8/P5P1/1P3PK1/8 w - -",0.380178,0.5
"4r1k1/6p1/1pR4p/p2r3P/5N2/P5P1/1P3PK1/8 b - -",0.658914,0.5
"4r1k1/3r2p1/1pR4p/p6P/5N2/P5P1/1P3PK1/8 w - -",0.491921,0.5
"4r1k1/4r1p1/1R5p/p6P/5N2/P5P1/1P3PK1/8 w - -",0.5,0.5
"4r1k1/4r1p1/1R5p/p6P/1P3N2/P5P1/5PK1/8 b - b3",0.5,0.5
"4r1k1/6p1/1R5p/4r2P/1P3N2/6P1/5PK1/8 w - -",0.51817,0.5
"4r1k1/1R4p1/7p/4r2P/1P3N2/6P1/5PK1/8 b - -",0.49798,0.5
"6k1/1R2r1p1/7p/4r2P/1P3N2/6P1/5PK1/8 w - -",0.50404,0.5
"1R2r1k1/6p1/7p/4r2P/1P3N2/6P1/5PK1/8 w - -",0.5,0.5
"r1bq1rk1/pp2b1pp/3ppn2/2p3N1/3P4/2P5/PPQ2PPP/RNB1K2R w - -",0.367883,0.5
"r1bq1rk1/pp2b1pp/4pn2/2Pp2N1/8/2P5/PPQ2PPP/RNB1K2R w - -",0.354832,0.5
"r1bq1rk1/pp2b1pp/4pn2/2Pp2N1/1P6/2P5/P1Q2PPP/RNB1K2R b - b3",0.672398,0.5
"r1bq1rk1/pp2b1pp/5n2/2Ppp1N1/1P6/2P5/P1Q2PPP/RNB1K2R w - -",0.277401,0.5
"r1bq1rk1/pp2b1pp/5n2/2Ppp1N1/1P6/2P5/P1Q2PPP/RNB2RK1 b - -",0.663439,0.5
"r1bqr1k1/pp2b1pp/5n2/2Ppp1N1/1P6/2P5/P1Q2PPP/RNB2RK1 w - -",0.438706,0.5
"r1bqr1k1/pp2b1pp/5n2/2Ppp1N1/1P6/2P5/PBQ2PPP/RN3RK1 b - -",0.596726,0.5
"r1bqr1k1/pp2b1p1/5n1p/2Ppp1N1/1P6/2P5/PBQ2PPP/RN3RK1 w - -",0.432746,0.5
"r1bqr1k1/pp2b1p1/5n1p/2Ppp3/1P6/2P2N2/PBQ2PPP/RN3RK1 b - -",0.546322,0.5
"r1bqr1k1/p3b1p1/1p3n1p/2Ppp3/1P6/2P2N2/PBQ2PPP/RN3RK1 w - -",0.484856,0.5
"r1bqr1k1/p3b1p1/5n1p/2ppN3/1P6/2P5/PBQN1PPP/R4RK1 b - -",0.49899,0.5
"r2qr1k1/p3b1p1/b4n1p/2ppN3/1P6/2P5/PBQN1PPP/R4RK1 w - -",0.556315,0.5
"r2qr1k1/p3b1p1/b4n1p/1PppN3/8/2P5/PBQN1PPP/R4RK1 b - -",0.48183,0.5
"r2qr1k1/p5p1/b2b1n1p/1PppN3/8/2P5/PBQN1PPP/R4RK1 w - -",0.507069,0.5
"r2qr1k1/p5p1/b2b1nNp/1Ppp4/8/2P5/PBQN1PPP/R4RK1 b - -",0.64053,0.5
"r2qr1k1/p5p1/3b1nNp/1bpp4/2P5/8/PBQN1PPP/R4RK1 b - -",0.629294,0.5
"r2qr3/p5pk/3b1nNp/2p5/2Q5/8/PB3PPP/R4RK1 w - -",0.676832,0.5
"r2qr3/p5pk/3b1nNp/2p5/8/8/PBQ2PPP/R4RK1 b - -",0.342904,0.5
"1r1qr3/p5pk/3b1nNp/2p5/8/8/PBQ2PPP/R4RK1 w - -",0.682111,0.5
"1r1qr1k1/p5p1/3b1n1p/2p1N3/8/8/PBQ2PPP/R4RK1 w - -",0.694246,0.5
"1r1qr3/p5pk/3b1n1p/2p1N3/2Q5/8/PB3PPP/R4RK1 w - -",0.713604,0.5
"1rb1kb1r/2q1ppp1/2p2n1p/p1Pp4/4P3/2P2N2/PPKNQPPP/R1B4R b - -",0.606408,0.5
"1r2kb1r/2q1ppp1/2p4p/p1Pp1b2/4N3/2P2N2/PPK1QPPP/R1B4R w - -",0.444683,0.5
"1r2kb1r/2q1ppp1/2p4p/p1Pp1b2/8/2P2N2/PPKNQPPP/R1B4R b - -",0.414992,0.5
"r7/7k/2p3pp/p1B5/1P2P1n1/b5N1/4NPP1/6K1 w - a6",0.16859,0
"r7/7k/2p3pp/p1B5/1P2P1n1/b4PN1/4N1P1/6K1 b - -",0.810033,0
"r7/7k/2p3pp/2B5/4P1P1/bp4N1/4N1P1/6K1 w - -",0.170867,0
"r7/7k/2p3pp/8/4P1P1/bp2B1N1/4N1P1/6K1 b - -",0.887379,0
"r7/7k/2p3pp/8/4P1P1/b3B1N1/1p2N1P1/6K1 w - -",0.111016,0
"r7/7k/2p3pp/8/4P1P1/b1N1B1N1/1p4P1/6K1 b - -",0.893679,0
"r7/7k/2p3pp/8/1b2P1P1/2N1B1N1/1p4P1/6K1 w - -",0.111415,0
"r7/7k/2p3pp/8/1b2P1P1/2N1B3/1p2N1P1/6K1 b - -",0.898198,0
