iteration,ATK_WEIGHT_KNIGHT,ATK_WEIGHT_BISHOP,ATK_WEIGHT_ROOK,HANGING_PENALTY,wins,draws,losses,elo,best_elo
1,5,3,9,52,33,27,4,169.77,169.77
2,4,4,11,50,33,29,2,183.68,183.68
3,4,5,13,72,29,26,9,112.33,183.68
4,2,6,13,62,28,28,8,112.33,183.68
5,3,4,10,71,29,30,5,136.97,183.68
6,5,3,10,61,26,36,2,136.97,183.68
7,6,2,9,58,36,26,2,205.64,205.64
8,6,1,12,53,32,26,6,149.78,205.64
9,8,3,10,59,26,30,8,100.42,205.64
10,3,4,10,72,26,23,15,60.31,205.64
11,8,1,12,71,24,25,15,49.18,205.64
12,4,2,11,78,18,31,15,16.3,205.64
13,9,2,6,36,23,24,17,32.67,205.64
14,6,1,10,49,26,24,14,65.92,205.64
15,7,2,10,69,30,24,10,112.33,205.64
16,4,1,10,45,19,23,22,-16.3,205.64
17,3,3,10,51,22,23,19,16.3,205.64
18,3,3,11,37,26,20,18,43.66,205.64
19,6,1,10,37,29,18,17,65.92,205.64
20,4,5,8,63,19,30,15,21.74,205.64
21,9,1,9,52,21,21,22,-5.43,205.64
22,9,4,9,77,21,26,17,21.74,205.64
23,5,1,10,38,22,25,17,27.2,205.64
24,8,2,9,63,26,23,15,60.31,205.64
25,3,1,7,65,25,21,18,38.15,205.64
26,5,1,7,81,20,26,18,10.86,205.64
27,9,1,7,48,30,19,15,82.97,205.64
28,9,4,12,51,24,22,18,32.67,205.64
29,7,5,8,79,23,25,16,38.15,205.64
30,3,1,9,56,27,23,14,71.57,205.64
31,5,1,7,41,24,27,13,60.31,205.64
32,4,3,7,77,27,18,19,43.66,205.64
33,9,2,6,53,22,21,21,5.43,205.64
34,6,1,6,43,25,29,10,82.97,205.64
35,4,1,6,68,21,29,14,38.15,205.64
36,8,1,11,52,19,26,19,0,205.64
37,6,5,6,49,24,22,18,32.67,205.64
38,9,2,7,46,23,27,14,49.18,205.64
39,7,1,10,79,18,28,18,0,205.64
40,7,2,10,76,21,34,9,65.92,205.64
41,8,1,12,48,19,28,17,10.86,205.64
42,5,3,7,76,21,24,19,10.86,205.64
43,5,4,10,49,23,22,19,21.74,205.64
44,8,2,11,61,19,26,19,0,205.64
45,9,2,8,43,19,19,26,-38.15,205.64
46,6,2,6,76,15,29,20,-27.2,205.64
47,7,3,8,71,26,23,15,60.31,205.64
48,8,1,11,79,19,27,18,5.43,205.64
49,9,5,11,76,21,21,22,-5.43,205.64
50,6,5,11,54,20,22,22,-10.86,205.64
51,6,1,12,69,23,21,20,16.3,205.64
52,4,1,10,36,23,23,18,27.2,205.64
53,7,5,10,60,25,21,18,38.15,205.64
54,5,1,6,56,20,25,19,5.43,205.64
55,8,1,9,39,18,22,24,-32.67,205.64
56,8,1,9,48,24,17,23,5.43,205.64
57,8,5,8,58,21,27,16,27.2,205.64
58,8,4,9,40,12,29,23,-60.31,205.64
59,7,2,10,59,25,20,19,32.67,205.64
60,7,1,6,37,23,20,21,10.86,205.64
61,4,1,12,56,27,24,13,77.25,205.64
62,4,5,9,58,23,28,13,54.74,205.64
63,8,1,7,61,21,25,18,16.3,205.64
64,5,1,12,67,25,20,19,32.67,205.64
65,4,2,9,53,24,30,10,77.25,205.64
66,3,4,11,79,29,17,18,60.31,205.64
67,7,3,7,72,20,26,18,10.86,205.64
68,8,1,8,75,25,20,19,32.67,205.64
69,3,3,8,75,21,22,21,0,205.64
70,6,1,7,70,26,27,11,82.97,205.64
71,4,1,9,73,20,23,21,-5.43,205.64
72,8,2,11,67,27,20,17,54.74,205.64
73,7,2,9,41,22,27,15,38.15,205.64
74,8,5,11,45,22,25,17,27.2,205.64
75,8,4,8,61,17,29,18,-5.43,205.64
76,5,2,8,40,26,23,15,60.31,205.64
77,8,2,8,45,24,26,14,54.74,205.64
78,6,3,12,57,17,26,21,-21.74,205.64
79,9,1,12,76,24,20,20,21.74,205.64
80,6,1,11,73,15,32,17,-10.86,205.64
81,9,1,9,69,30,20,14,88.74,205.64
82,5,1,10,77,21,25,18,16.3,205.64
83,7,4,6,42,22,24,18,21.74,205.64
84,9,2,8,44,19,33,12,38.15,205.64
85,4,2,6,39,20,29,15,27.2,205.64
86,5,2,8,73,18,32,14,21.74,205.64
87,7,4,12,72,22,28,14,43.66,205.64
88,5,1,12,70,21,24,19,10.86,205.64
89,7,2,11,72,24,27,13,60.31,205.64
90,8,4,9,40,27,25,12,82.97,205.64
91,7,2,8,55,26,26,12,77.25,205.64
92,8,1,11,56,30,25,9,118.38,205.64
93,4,1,12,75,21,23,20,5.43,205.64
94,7,2,10,49,29,20,15,77.25,205.64
95,6,2,7,63,19,27,18,5.43,205.64
96,5,1,10,70,23,25,16,38.15,205.64
97,6,4,10,57,15,31,18,-16.3,205.64
98,8,3,12,44,21,25,18,16.3,205.64
99,5,5,7,46,19,22,23,-21.74,205.64
100,6,1,12,69,26,19,19,38.15,205.64
101,3,1,11,76,25,22,17,43.66,205.64
102,5,1,10,55,23,26,15,43.66,205.64
103,7,3,7,38,22,26,16,32.67,205.64
104,5,5,12,54,28,22,14,77.25,205.64
105,7,1,9,76,27,20,17,54.74,205.64
106,7,2,12,52,23,33,8,82.97,205.64
107,7,1,10,67,25,28,11,77.25,205.64
108,8,2,11,75,24,24,16,43.66,205.64
109,6,4,11,40,23,25,16,38.15,205.64
110,8,1,11,76,29,23,12,94.55,205.64
111,7,1,10,78,24,17,23,5.43,205.64
112,5,3,8,68,25,27,12,71.57,205.64
113,8,1,10,75,18,29,17,5.43,205.64
114,3,1,10,63,26,23,15,60.31,205.64
115,3,5,7,50,21,31,12,49.18,205.64
116,5,3,11,51,25,27,12,71.57,205.64
117,8,3,6,58,25,23,16,49.18,205.64
118,6,1,9,53,18,30,16,10.86,205.64
119,8,1,10,53,21,34,9,65.92,205.64
120,6,1,11,42,23,22,19,21.74,205.64
121,9,4,7,75,23,26,15,43.66,205.64
122,5,3,6,38,24,21,19,27.2,205.64
123,4,2,8,71,21,25,18,16.3,205.64
124,7,1,10,68,23,25,16,38.15,205.64
125,5,2,11,37,20,21,23,-16.3,205.64
126,6,1,6,69,24,30,10,77.25,205.64
127,6,1,10,61,19,22,23,-21.74,205.64
128,4,5,8,74,21,24,19,10.86,205.64
129,8,2,10,42,23,27,14,49.18,205.64
130,4,4,8,76,23,23,18,27.2,205.64
131,5,1,12,56,23,28,13,54.74,205.64
132,6,3,11,57,22,27,15,38.15,205.64
133,3,3,12,78,27,23,14,71.57,205.64
134,3,1,12,50,22,22,20,10.86,205.64
135,8,5,11,36,22,26,16,32.67,205.64
136,8,1,6,77,22,24,18,21.74,205.64
137,8,4,8,68,27,21,16,60.31,205.64
138,4,1,10,47,27,20,17,54.74,205.64
139,8,1,11,73,23,19,22,5.43,205.64
140,4,5,7,50,25,24,15,54.74,205.64
141,5,1,12,37,31,16,17,77.25,205.64
142,6,1,9,58,22,26,16,32.67,205.64
143,8,1,9,78,18,30,16,10.86,205.64
144,5,1,8,74,22,27,15,38.15,205.64
145,7,3,6,61,22,22,20,10.86,205.64
146,3,3,12,57,17,30,17,0,205.64
147,4,5,11,69,33,22,9,136.97,205.64
148,8,2,11,64,21,24,19,10.86,205.64
149,6,1,7,78,23,22,19,21.74,205.64
150,5,1,8,52,29,23,12,94.55,205.64
151,8,5,11,78,21,26,17,21.74,205.64
152,5,1,11,76,21,27,16,27.2,205.64
153,5,1,11,73,23,22,19,21.74,205.64
154,6,4,12,68,24,24,16,43.66,205.64
155,3,3,11,38,23,24,17,32.67,205.64
156,7,1,12,40,20,25,19,5.43,205.64
157,7,2,6,41,26,28,10,88.74,205.64
158,6,1,12,67,15,31,18,-16.3,205.64
159,6,3,11,58,21,19,24,-16.3,205.64
160,5,1,7,69,26,22,16,54.74,205.64
161,6,4,11,68,19,29,16,16.3,205.64
162,8,3,12,50,23,23,18,27.2,205.64
163,6,3,11,68,25,26,13,65.92,205.64
164,7,3,8,71,23,29,12,60.31,205.64
165,4,3,7,64,20,28,16,21.74,205.64
166,6,1,9,60,20,29,15,27.2,205.64
167,6,4,9,69,21,24,19,10.86,205.64
168,8,3,6,76,23,20,21,10.86,205.64
169,7,2,12,79,21,27,16,27.2,205.64
170,9,1,9,76,21,27,16,27.2,205.64
171,5,1,12,56,22,29,13,49.18,205.64
172,7,1,11,61,23,24,17,32.67,205.64
173,9,2,12,74,27,25,12,82.97,205.64
174,4,4,11,41,28,29,7,118.38,205.64
175,7,3,7,40,20,25,19,5.43,205.64
176,6,1,6,71,25,20,19,32.67,205.64
177,5,1,6,68,21,37,6,82.97,205.64
178,4,2,9,59,32,23,9,130.69,205.64
179,9,1,11,44,22,23,19,16.3,205.64
180,8,3,8,56,24,22,18,32.67,205.64
181,6,1,12,63,29,30,5,136.97,205.64
182,9,2,10,72,19,22,23,-21.74,205.64
183,8,3,6,39,31,23,10,118.38,205.64
184,7,1,12,76,27,26,11,88.74,205.64
185,8,4,12,51,22,26,16,32.67,205.64
186,7,1,9,48,19,27,18,5.43,205.64
187,4,2,11,62,24,30,10,77.25,205.64
188,7,2,7,75,19,28,17,10.86,205.64
189,7,5,7,38,18,27,19,-5.43,205.64
190,8,3,11,35,25,21,18,38.15,205.64
191,5,1,9,75,22,32,10,65.92,205.64
192,8,2,9,43,28,21,15,71.57,205.64
193,4,4,11,40,21,26,17,21.74,205.64
194,4,3,6,70,26,22,16,54.74,205.64
195,8,1,10,55,22,28,14,43.66,205.64
196,6,4,11,39,25,21,18,38.15,205.64
197,6,1,7,37,29,15,20,49.18,205.64
198,6,2,8,42,27,25,12,82.97,205.64
199,5,4,7,35,23,28,13,54.74,205.64
200,7,1,7,76,21,26,17,21.74,205.64
201,4,4,9,41,25,24,15,54.74,205.64
202,5,1,12,70,28,20,16,65.92,205.64
203,9,2,10,42,24,21,19,27.2,205.64
204,6,1,9,38,20,28,16,21.74,205.64
205,6,1,8,61,24,25,15,49.18,205.64
206,6,1,8,63,30,15,19,60.31,205.64
207,4,4,10,69,26,24,14,65.92,205.64
208,3,2,7,45,18,32,14,21.74,205.64
209,9,2,9,60,26,22,16,54.74,205.64
