iteration,ATK_WEIGHT_QUEEN,wins,draws,losses,elo,best_elo
1,5,28,26,10,100.42,100.42
2,9,22,31,11,60.31,100.42
3,4,21,32,11,54.74,100.42
4,3,25,23,16,49.18,100.42
5,9,14,42,8,32.67,100.42
6,0,22,30,12,54.74,100.42
7,8,23,28,13,54.74,100.42
8,5,27,25,12,82.97,100.42
9,3,20,29,15,27.2,100.42
10,4,20,32,12,43.66,100.42
11,8,23,23,18,27.2,100.42
12,4,23,31,10,71.57,100.42
13,8,22,26,16,32.67,100.42
14,1,21,28,15,32.67,100.42
15,8,25,27,12,71.57,100.42
16,6,24,27,13,60.31,100.42
17,3,24,26,14,54.74,100.42
18,0,30,26,8,124.5,124.5
19,-2,24,29,11,71.57,124.5
20,3,29,20,15,77.25,124.5
21,-4,22,28,14,43.66,124.5
22,-3,21,33,10,60.31,124.5
23,-1,30,23,11,106.35,124.5
24,5,29,24,11,100.42,124.5
25,0,20,28,16,21.74,124.5
26,-4,24,28,12,65.92,124.5
27,0,26,21,17,49.18,124.5
28,3,22,33,9,71.57,124.5
29,4,17,26,21,-21.74,124.5
30,5,26,24,14,65.92,124.5
31,0,22,28,14,43.66,124.5
32,-1,25,21,18,38.15,124.5
33,3,31,22,11,112.33,124.5
34,-5,14,38,12,10.86,124.5
35,1,21,26,17,21.74,124.5
36,1,30,19,15,82.97,124.5
37,-3,20,31,13,38.15,124.5
38,4,17,26,21,-21.74,124.5
39,3,23,27,14,49.18,124.5
40,2,23,20,21,10.86,124.5
41,-2,27,24,13,77.25,124.5
42,-5,17,29,18,-5.43,124.5
43,-2,21,25,18,16.3,124.5
44,2,20,28,16,21.74,124.5
45,3,22,32,10,65.92,124.5
46,-3,32,19,13,106.35,124.5
47,0,25,24,15,54.74,124.5
48,1,24,26,14,54.74,124.5
49,2,21,25,18,16.3,124.5
50,4,24,28,12,65.92,124.5
51,0,27,25,12,82.97,124.5
52,4,22,26,16,32.67,124.5
53,5,31,22,11,112.33,124.5
54,-5,28,24,12,88.74,124.5
55,-1,19,26,19,0,124.5
56,-2,19,26,19,0,124.5
57,-3,23,23,18,27.2,124.5
58,5,19,28,17,10.86,124.5
59,-5,21,27,16,27.2,124.5
60,-3,23,27,14,49.18,124.5
61,0,34,22,8,149.78,149.78
62,0,20,28,16,21.74,149.78
63,-5,22,27,15,38.15,149.78
64,-4,28,22,14,77.25,149.78
65,-1,28,22,14,77.25,149.78
66,1,25,24,15,54.74,149.78
67,3,28,21,15,71.57,149.78
68,-1,17,32,15,10.86,149.78
69,-4,23,22,19,21.74,149.78
70,3,22,26,16,32.67,149.78
71,3,26,24,14,65.92,149.78
72,0,21,27,16,27.2,149.78
73,3,18,28,18,0,149.78
74,1,28,23,13,82.97,149.78
75,-1,23,28,13,54.74,149.78
76,-3,27,20,17,54.74,149.78
77,3,29,23,12,94.55,149.78
78,2,23,26,15,43.66,149.78
79,4,28,24,12,88.74,149.78
80,0,22,26,16,32.67,149.78
81,-2,21,26,17,21.74,149.78
82,5,28,19,17,60.31,149.78
83,-5,24,21,19,27.2,149.78
84,0,21,25,18,16.3,149.78
85,0,22,24,18,21.74,149.78
86,5,21,25,18,16.3,149.78
87,5,21,24,19,10.86,149.78
88,-2,20,26,18,10.86,149.78
89,-1,19,27,18,5.43,149.78
90,1,18,27,19,-5.43,149.78
91,2,23,26,15,43.66,149.78
92,3,24,26,14,54.74,149.78
93,-1,23,26,15,43.66,149.78
94,-3,22,25,17,27.2,149.78
95,1,24,19,21,16.3,149.78
96,-4,22,22,20,10.86,149.78
97,3,29,20,15,77.25,149.78
98,1,26,25,13,71.57,149.78
99,-2,29,20,15,77.25,149.78
100,0,18,37,9,49.18,149.78
101,-2,24,27,13,60.31,149.78
102,0,23,23,18,27.2,149.78
103,3,22,29,13,49.18,149.78
104,2,20,29,15,27.2,149.78
105,4,21,25,18,16.3,149.78
106,0,20,30,14,32.67,149.78
107,4,23,23,18,27.2,149.78
108,4,21,24,19,10.86,149.78
109,-3,25,21,18,38.15,149.78
110,4,18,26,20,-10.86,149.78
111,-3,27,23,14,71.57,149.78
112,-1,17,25,22,-27.2,149.78
113,1,27,25,12,82.97,149.78
114,-1,18,28,18,0,149.78
115,-3,25,20,19,32.67,149.78
116,0,30,21,13,94.55,149.78
117,3,24,26,14,54.74,149.78
118,-3,17,25,22,-27.2,149.78
119,5,25,27,12,71.57,149.78
120,2,14,35,15,-5.43,149.78
121,0,26,21,17,49.18,149.78
122,-3,26,24,14,65.92,149.78
123,-4,23,26,15,43.66,149.78
124,4,26,23,15,60.31,149.78
125,3,19,26,19,0,149.78
126,1,18,26,20,-10.86,149.78
127,2,17,30,17,0,149.78
128,-1,17,27,20,-16.3,149.78
129,-1,23,26,15,43.66,149.78
130,1,20,22,22,-10.86,149.78
131,2,22,28,14,43.66,149.78
132,-1,30,18,16,77.25,149.78
133,-4,18,25,21,-16.3,149.78
134,0,21,25,18,16.3,149.78
135,-3,29,19,16,71.57,149.78
136,1,27,26,11,88.74,149.78
137,-2,20,29,15,27.2,149.78
138,-4,23,23,18,27.2,149.78
139,2,23,19,22,5.43,149.78
140,-2,24,29,11,71.57,149.78
141,1,24,27,13,60.31,149.78
142,4,25,27,12,71.57,149.78
143,-1,25,25,14,60.31,149.78
144,2,21,30,13,43.66,149.78
145,-1,20,25,19,5.43,149.78
146,-4,31,20,13,100.42,149.78
147,4,23,24,17,32.67,149.78
148,-3,24,27,13,60.31,149.78
149,-4,26,19,19,38.15,149.78
150,1,20,23,21,-5.43,149.78
151,0,24,24,16,43.66,149.78
152,-1,23,24,17,32.67,149.78
153,-5,24,23,17,38.15,149.78
154,1,22,26,16,32.67,149.78
155,-2,25,27,12,71.57,149.78
156,-2,24,21,19,27.2,149.78
157,-1,22,30,12,54.74,149.78
158,3,28,24,12,88.74,149.78
159,1,26,23,15,60.31,149.78
160,-2,26,25,13,71.57,149.78
161,4,21,24,19,10.86,149.78
162,0,23,27,14,49.18,149.78
163,-2,23,21,20,16.3,149.78
164,2,23,25,16,38.15,149.78
165,2,29,25,10,106.35,149.78
166,-2,25,22,17,43.66,149.78
167,2,27,25,12,82.97,149.78
168,4,28,24,12,88.74,149.78
169,2,29,19,16,71.57,149.78
170,3,26,25,13,71.57,149.78
171,-4,24,32,8,88.74,149.78
172,-1,22,23,19,16.3,149.78
173,-4,29,27,8,118.38,149.78
174,5,26,24,14,65.92,149.78
175,-2,22,26,16,32.67,149.78
176,5,33,21,10,130.69,149.78
177,1,25,24,15,54.74,149.78
178,4,23,18,23,0,149.78
179,2,25,24,15,54.74,149.78
180,-1,25,26,13,65.92,149.78
181,-3,27,22,15,65.92,149.78
182,-2,24,23,17,38.15,149.78
183,-5,20,33,11,49.18,149.78
184,2,26,25,13,71.57,149.78
185,-4,21,28,15,32.67,149.78
186,-3,23,29,12,60.31,149.78
187,-3,25,32,7,100.42,149.78
188,-4,20,28,16,21.74,149.78
189,-1,25,24,15,54.74,149.78
190,4,28,23,13,82.97,149.78
191,2,18,22,24,-32.67,149.78
192,0,24,26,14,54.74,149.78
193,5,23,31,10,71.57,149.78
194,-3,22,27,15,38.15,149.78
195,-4,25,25,14,60.31,149.78
196,4,26,21,17,49.18,149.78
197,5,18,26,20,-10.86,149.78
198,-5,20,28,16,21.74,149.78
199,0,22,29,13,49.18,149.78
200,1,20,23,21,-5.43,149.78
201,0,24,22,18,32.67,149.78
202,2,26,18,20,32.67,149.78
203,4,16,32,16,0,149.78
204,-4,26,23,15,60.31,149.78
205,0,22,18,24,-10.86,149.78
206,2,28,17,19,49.18,149.78
207,4,23,25,16,38.15,149.78
208,-1,25,26,13,65.92,149.78
209,4,23,25,16,38.15,149.78
210,-1,21,28,15,32.67,149.78
211,1,16,35,13,16.3,149.78
212,-1,26,21,17,49.18,149.78
213,0,21,26,17,21.74,149.78
214,-2,20,35,9,60.31,149.78
215,-3,29,21,14,82.97,149.78
216,-3,25,30,9,88.74,149.78
217,-2,24,21,19,27.2,149.78
218,5,18,27,19,-5.43,149.78
219,4,22,28,14,43.66,149.78
220,5,27,22,15,65.92,149.78
221,-3,25,18,21,21.74,149.78
222,3,18,24,22,-21.74,149.78
223,1,23,28,13,54.74,149.78
224,2,19,26,19,0,149.78
225,2,22,27,15,38.15,149.78
226,2,22,22,20,10.86,149.78
227,-3,30,22,12,100.42,149.78
228,-1,25,22,17,43.66,149.78
229,2,22,23,19,16.3,149.78
230,1,24,25,15,49.18,149.78
231,3,25,24,15,54.74,149.78
232,5,25,23,16,49.18,149.78
233,4,30,20,14,88.74,149.78
234,3,24,23,17,38.15,149.78
235,-1,23,26,15,43.66,149.78
236,0,21,26,17,21.74,149.78
237,-4,26,22,16,54.74,149.78
238,-5,27,21,16,60.31,149.78
239,-3,26,24,14,65.92,149.78
240,-4,24,23,17,38.15,149.78
241,-4,24,28,12,65.92,149.78
242,-3,18,28,18,0,149.78
243,-4,26,22,16,54.74,149.78
244,-5,22,27,15,38.15,149.78
245,1,22,21,21,5.43,149.78
246,4,28,22,14,77.25,149.78
247,-1,25,26,13,65.92,149.78
248,1,18,29,17,5.43,149.78
249,0,25,23,16,49.18,149.78
250,-4,26,23,15,60.31,149.78
251,1,26,27,11,82.97,149.78
252,2,21,27,16,27.2,149.78
253,-4,27,24,13,77.25,149.78
254,-4,31,21,12,106.35,149.78
255,1,18,34,12,32.67,149.78
256,3,24,29,11,71.57,149.78
257,5,19,29,16,16.3,149.78
258,4,22,22,20,10.86,149.78
259,4,27,22,15,65.92,149.78
260,-3,18,30,16,10.86,149.78
261,1,18,29,17,5.43,149.78
262,0,21,26,17,21.74,149.78
263,-4,18,27,19,-5.43,149.78
264,4,28,20,16,65.92,149.78
265,-1,21,24,19,10.86,149.78
266,-4,24,24,16,43.66,149.78
267,4,23,25,16,38.15,149.78
268,3,18,24,22,-21.74,149.78
269,-4,24,28,12,65.92,149.78
270,-3,28,29,7,118.38,149.78
271,5,28,24,12,88.74,149.78
272,1,27,18,19,43.66,149.78
273,-5,14,35,15,-5.43,149.78
274,0,25,20,19,32.67,149.78
275,1,22,31,11,60.31,149.78
276,3,23,26,15,43.66,149.78
277,1,22,27,15,38.15,149.78
278,-2,26,29,9,94.55,149.78
279,-1,22,19,23,-5.43,149.78
280,2,15,28,21,-32.67,149.78
281,1,24,27,13,60.31,149.78
282,3,17,33,14,16.3,149.78
283,3,20,31,13,38.15,149.78
284,5,18,26,20,-10.86,149.78
285,-3,24,20,20,21.74,149.78
286,-5,20,25,19,5.43,149.78
287,-5,21,22,21,0,149.78
288,0,32,18,14,100.42,149.78
289,2,30,26,8,124.5,149.78
290,0,18,23,23,-27.2,149.78
291,-5,23,27,14,49.18,149.78
292,4,28,15,21,38.15,149.78
293,5,26,23,15,60.31,149.78
294,0,20,26,18,10.86,149.78
295,4,21,28,15,32.67,149.78
296,-2,23,26,15,43.66,149.78
297,4,23,24,17,32.67,149.78
298,-1,31,18,15,88.74,149.78
299,-2,23,28,13,54.74,149.78
300,-5,25,26,13,65.92,149.78
