iteration,ATK_WEIGHT_KNIGHT,ATK_WEIGHT_BISHOP,ATK_WEIGHT_ROOK,ATK_WEIGHT_QUEEN,HANGING_PENALTY,TEMPO,wins,draws,losses,elo,best_elo
1,5,5,3,-1,50,9,6,10,0,136.97,136.97
2,6,3,6,1,45,5,10,6,0,254.73,254.73
3,6,2,6,2,53,9,6,9,1,112.33,254.73
4,7,1,6,0,51,5,4,12,0,88.74,254.73
5,7,3,9,-2,54,5,4,10,2,43.66,254.73
6,5,1,6,0,41,10,8,7,1,162.99,254.73
7,3,3,6,2,58,5,7,9,0,162.99,254.73
8,5,3,3,0,58,5,6,10,0,136.97,254.73
9,7,6,8,1,44,7,7,8,1,136.97,254.73
10,3,2,4,-1,33,5,7,9,0,162.99,254.73
11,6,5,8,6,41,11,6,8,2,88.74,254.73
12,3,4,8,4,46,8,8,8,0,190.85,254.73
13,9,1,6,1,33,12,8,8,0,190.85,254.73
14,5,6,4,2,56,5,9,7,0,221.14,254.73
15,7,3,8,-2,36,5,8,8,0,190.85,254.73
16,4,5,8,5,34,11,8,8,0,190.85,254.73
17,7,4,6,4,40,9,5,11,0,112.33,254.73
18,8,3,6,2,32,7,10,5,1,221.14,254.73
19,8,1,8,2,48,9,8,6,2,136.97,254.73
20,5,4,4,3,35,7,7,8,1,136.97,254.73
21,8,6,7,-1,51,8,6,9,1,112.33,254.73
22,6,2,4,-2,43,5,10,5,1,221.14,254.73
23,8,2,8,-1,52,5,6,10,0,136.97,254.73
24,9,3,3,1,53,10,8,7,1,162.99,254.73
25,7,6,3,4,47,12,7,8,1,136.97,254.73
26,6,2,5,0,40,12,7,9,0,162.99,254.73
27,5,6,4,0,33,5,10,6,0,254.73,254.73
28,8,5,5,-3,41,5,8,8,0,190.85,254.73
29,5,1,8,3,44,5,7,7,2,112.33,254.73
30,7,6,4,0,57,11,7,8,1,136.97,254.73
31,5,5,5,-3,51,5,8,8,0,190.85,254.73
32,7,1,4,4,52,5,9,7,0,221.14,254.73
33,6,1,8,3,42,5,7,7,2,112.33,254.73
34,6,6,8,-3,52,5,9,7,0,221.14,254.73
35,3,1,7,0,33,5,8,8,0,190.85,254.73
36,4,6,7,5,55,5,7,8,1,136.97,254.73
37,4,1,4,2,55,8,8,7,1,162.99,254.73
38,9,3,4,1,41,8,8,7,1,162.99,254.73
39,8,1,7,-4,55,5,6,9,1,112.33,254.73
40,3,5,8,1,43,5,11,5,0,292.96,292.96
41,5,2,10,-2,46,5,5,9,2,65.92,292.96
42,3,7,10,0,39,5,6,9,1,112.33,292.96
43,1,3,10,-1,28,10,6,8,2,88.74,292.96
44,6,5,8,-1,35,5,7,9,0,162.99,292.96
45,4,8,8,4,45,5,7,7,2,112.33,292.96
46,1,4,6,3,32,6,7,8,1,136.97,292.96
47,2,2,9,-2,43,11,5,11,0,112.33,292.96
48,2,3,6,-3,45,5,6,10,0,136.97,292.96
49,1,4,7,0,29,5,7,7,2,112.33,292.96
50,5,4,6,1,28,12,5,10,1,88.74,292.96
51,2,6,5,-1,48,6,8,7,1,162.99,292.96
52,4,5,10,-4,35,5,8,7,1,162.99,292.96
53,1,8,11,2,41,5,8,7,1,162.99,292.96
54,5,7,7,3,58,5,9,6,1,190.85,292.96
55,4,3,7,5,41,5,4,10,2,43.66,292.96
56,5,4,8,3,44,5,7,8,1,136.97,292.96
57,3,5,6,-2,42,10,5,10,1,88.74,292.96
58,3,2,9,-1,49,11,7,8,1,136.97,292.96
59,5,5,8,5,53,8,7,7,2,112.33,292.96
60,1,2,11,4,52,5,5,10,1,88.74,292.96
