"run_type","pass","position","threads","search","event","helper","diagnostic"
"measured","1","0","1","94","begin","-","SMPDIAG search=94 event=begin threads=1 helpers=0 available_cores=16"
"measured","1","0","1","94","bestmove","-","SMPDIAG search=94 event=bestmove source=main-result move=e2e4 legal=true main_depth=13 main_move=e2e4 latest_move=e2e4 main_score_cp=29 main_nodes=528398 main_qnodes=1218768 main_tt_hits=145603 main_pv=e2e4,e7e5,g1f3,g8f6,b1c3,b8c6,d2d4,e5d4,f3d4,c6d4,d1d4,c7c6,f1e2 aborted=false helper_submitted=0 helper_started=0 helper_exited=0 helper_pending=0 helper_exceptions=0 abort_ms=1261 bestmove_ms=1261 search_elapsed_ns=1261713000"
"measured","1","0","1","94","drained","-","SMPDIAG search=94 event=drained helper_submitted=0 helper_started=0 helper_exited=0 helper_pending=0 helper_exceptions=0 drain_elapsed_ns=1261836300 hashfull=372"
"measured","1","0","2","95","begin","-","SMPDIAG search=95 event=begin threads=2 helpers=1 available_cores=16"
"measured","1","0","2","95","submit","1","SMPDIAG search=95 event=submit helper=1 ms=0 start_depth=2"
"measured","1","0","2","95","start","1","SMPDIAG search=95 event=start helper=1 ms=0"
"measured","1","0","2","95","exit","1","SMPDIAG search=95 event=exit helper=1 submit_ms=0 start_ms=0 exit_ms=881 abort_ms=881 bestmove_ms=881 helper_elapsed_ns=881458800 helper_nodes=348747 search_elapsed_ns=881540100 exit_cause=helper-abort completed_depth=13 bestmove=e2e4 exception=- tt_reads=502350 tt_writes=347236 tt_other=1 after_abort=0 after_generation=0 after_clear=0 after_resize=0 reads_after_abort=0 writes_after_abort=0 other_after_abort=0 reads_after_generation=0 writes_after_generation=0 other_after_generation=0 reads_after_clear=0 writes_after_clear=0 other_after_clear=0 reads_after_resize=0 writes_after_resize=0 other_after_resize=0"
"measured","1","0","2","95","bestmove","-","SMPDIAG search=95 event=bestmove source=main-result move=e2e4 legal=true main_depth=13 main_move=e2e4 latest_move=e2e4 main_score_cp=29 main_nodes=348281 main_qnodes=832521 main_tt_hits=139104 main_pv=e2e4,e7e5,g1f3,g8f6,b1c3,b8c6,d2d4,e5d4,f3d4,c6d4,d1d4,c7c6,f1e2 aborted=false helper_submitted=1 helper_started=1 helper_exited=1 helper_pending=0 helper_exceptions=0 abort_ms=881 bestmove_ms=881 search_elapsed_ns=881539600"
"measured","1","0","2","95","drained","-","SMPDIAG search=95 event=drained helper_submitted=1 helper_started=1 helper_exited=1 helper_pending=0 helper_exceptions=0 drain_elapsed_ns=881739800 hashfull=387"
"measured","1","0","4","96","begin","-","SMPDIAG search=96 event=begin threads=4 helpers=3 available_cores=16"
"measured","1","0","4","96","submit","1","SMPDIAG search=96 event=submit helper=1 ms=0 start_depth=2"
"measured","1","0","4","96","submit","2","SMPDIAG search=96 event=submit helper=2 ms=0 start_depth=1"
"measured","1","0","4","96","submit","3","SMPDIAG search=96 event=submit helper=3 ms=0 start_depth=3"
"measured","1","0","4","96","start","1","SMPDIAG search=96 event=start helper=1 ms=0"
"measured","1","0","4","96","start","3","SMPDIAG search=96 event=start helper=3 ms=0"
"measured","1","0","4","96","start","2","SMPDIAG search=96 event=start helper=2 ms=0"
"measured","1","0","4","96","exit","3","SMPDIAG search=96 event=exit helper=3 submit_ms=0 start_ms=0 exit_ms=696 abort_ms=696 bestmove_ms=696 helper_elapsed_ns=696074600 helper_nodes=264245 search_elapsed_ns=696167900 exit_cause=helper-abort completed_depth=13 bestmove=e2e4 exception=- tt_reads=408759 tt_writes=262923 tt_other=1 after_abort=0 after_generation=0 after_clear=0 after_resize=0 reads_after_abort=0 writes_after_abort=0 other_after_abort=0 reads_after_generation=0 writes_after_generation=0 other_after_generation=0 reads_after_clear=0 writes_after_clear=0 other_after_clear=0 reads_after_resize=0 writes_after_resize=0 other_after_resize=0"
"measured","1","0","4","96","exit","2","SMPDIAG search=96 event=exit helper=2 submit_ms=0 start_ms=0 exit_ms=696 abort_ms=696 bestmove_ms=696 helper_elapsed_ns=696092900 helper_nodes=268030 search_elapsed_ns=696167800 exit_cause=helper-abort completed_depth=13 bestmove=e2e4 exception=- tt_reads=408698 tt_writes=266994 tt_other=1 after_abort=0 after_generation=0 after_clear=0 after_resize=0 reads_after_abort=0 writes_after_abort=0 other_after_abort=0 reads_after_generation=0 writes_after_generation=0 other_after_generation=0 reads_after_clear=0 writes_after_clear=0 other_after_clear=0 reads_after_resize=0 writes_after_resize=0 other_after_resize=0"
