"run_type","pass","position","threads","search","helper","exit_cause","completed_depth","bestmove","helper_nodes","helper_elapsed_ns","helper_nps","tt_reads","tt_writes","tt_other","after_abort","after_generation","after_clear","after_resize","reads_after_abort","writes_after_abort","other_after_abort","reads_after_generation","writes_after_generation","other_after_generation","reads_after_clear","writes_after_clear","other_after_clear","reads_after_resize","writes_after_resize","other_after_resize","diagnostic"
"measured","1","0","2","95","1","helper-abort","13","e2e4","348747","881458800","395647.533","502350","347236","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","{exception=-, reads_after_abort=0, reads_after_clear=0, search_elapsed_ns=881540100, other_after_abort=0, writes_after_generation=0, abort_ms=881, after_resize=0, other_after_clear=0, after_generation=0, tt_writes=347236, reads_after_generation=0, search=95, helper=1, writes_after_clear=0, writes_after_resize=0, bestmove_ms=881, tt_other=1, event=exit, start_ms=0, completed_depth=13, submit_ms=0, after_abort=0, after_clear=0, reads_after_resize=0, helper_elapsed_ns=881458800, writes_after_abort=0, helper_nodes=348747, bestmove=e2e4, other_after_resize=0, exit_cause=helper-abort, tt_reads=502350, other_after_generation=0, exit_ms=881}"
"measured","1","0","4","96","3","helper-abort","13","e2e4","264245","696074600","379621.667","408759","262923","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","{exception=-, reads_after_abort=0, reads_after_clear=0, search_elapsed_ns=696167900, other_after_abort=0, writes_after_generation=0, abort_ms=696, after_resize=0, other_after_clear=0, after_generation=0, tt_writes=262923, reads_after_generation=0, search=96, helper=3, writes_after_clear=0, writes_after_resize=0, bestmove_ms=696, tt_other=1, event=exit, start_ms=0, completed_depth=13, submit_ms=0, after_abort=0, after_clear=0, reads_after_resize=0, helper_elapsed_ns=696074600, writes_after_abort=0, helper_nodes=264245, bestmove=e2e4, other_after_resize=0, exit_cause=helper-abort, tt_reads=408759, other_after_generation=0, exit_ms=696}"
"measured","1","0","4","96","2","helper-abort","13","e2e4","268030","696092900","385049.179","408698","266994","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","{exception=-, reads_after_abort=0, reads_after_clear=0, search_elapsed_ns=696167800, other_after_abort=0, writes_after_generation=0, abort_ms=696, after_resize=0, other_after_clear=0, after_generation=0, tt_writes=266994, reads_after_generation=0, search=96, helper=2, writes_after_clear=0, writes_after_resize=0, bestmove_ms=696, tt_other=1, event=exit, start_ms=0, completed_depth=13, submit_ms=0, after_abort=0, after_clear=0, reads_after_resize=0, helper_elapsed_ns=696092900, writes_after_abort=0, helper_nodes=268030, bestmove=e2e4, other_after_resize=0, exit_cause=helper-abort, tt_reads=408698, other_after_generation=0, exit_ms=696}"
"measured","1","0","4","96","1","helper-abort","13","e2e4","269609","696092000","387318.056","398622","268624","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","{exception=-, reads_after_abort=0, reads_after_clear=0, search_elapsed_ns=696167200, other_after_abort=0, writes_after_generation=0, abort_ms=696, after_resize=0, other_after_clear=0, after_generation=0, tt_writes=268624, reads_after_generation=0, search=96, helper=1, writes_after_clear=0, writes_after_resize=0, bestmove_ms=696, tt_other=1, event=exit, start_ms=0, completed_depth=13, submit_ms=0, after_abort=0, after_clear=0, reads_after_resize=0, helper_elapsed_ns=696092000, writes_after_abort=0, helper_nodes=269609, bestmove=e2e4, other_after_resize=0, exit_cause=helper-abort, tt_reads=398622, other_after_generation=0, exit_ms=696}"
"measured","1","1","2","97","1","helper-abort","13","e2a6","4767337","16994968700","280514.609","6442876","4749134","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","{exception=-, reads_after_abort=0, reads_after_clear=0, search_elapsed_ns=16995057400, other_after_abort=0, writes_after_generation=0, abort_ms=16995, after_resize=0, other_after_clear=0, after_generation=0, tt_writes=4749134, reads_after_generation=0, search=97, helper=1, writes_after_clear=0, writes_after_resize=0, bestmove_ms=16995, tt_other=1, event=exit, start_ms=0, completed_depth=13, submit_ms=0, after_abort=0, after_clear=0, reads_after_resize=0, helper_elapsed_ns=16994968700, writes_after_abort=0, helper_nodes=4767337, bestmove=e2a6, other_after_resize=0, exit_cause=helper-abort, tt_reads=6442876, other_after_generation=0, exit_ms=16995}"
"measured","1","1","4","98","2","helper-abort","13","e2a6","3060165","11831241700","258651.212","4995945","3047127","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","{exception=-, reads_after_abort=0, reads_after_clear=0, search_elapsed_ns=11831323200, other_after_abort=0, writes_after_generation=0, abort_ms=11831, after_resize=0, other_after_clear=0, after_generation=0, tt_writes=3047127, reads_after_generation=0, search=98, helper=2, writes_after_clear=0, writes_after_resize=0, bestmove_ms=11831, tt_other=1, event=exit, start_ms=0, completed_depth=13, submit_ms=0, after_abort=0, after_clear=0, reads_after_resize=0, helper_elapsed_ns=11831241700, writes_after_abort=0, helper_nodes=3060165, bestmove=e2a6, other_after_resize=0, exit_cause=helper-abort, tt_reads=4995945, other_after_generation=0, exit_ms=11831}"
"measured","1","1","4","98","1","helper-abort","13","e2a6","3109066","11831248000","262784.281","4858716","3096194","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","{exception=-, reads_after_abort=0, reads_after_clear=0, search_elapsed_ns=11831322600, other_after_abort=0, writes_after_generation=0, abort_ms=11831, after_resize=0, other_after_clear=0, after_generation=0, tt_writes=3096194, reads_after_generation=0, search=98, helper=1, writes_after_clear=0, writes_after_resize=0, bestmove_ms=11831, tt_other=1, event=exit, start_ms=0, completed_depth=13, submit_ms=0, after_abort=0, after_clear=0, reads_after_resize=0, helper_elapsed_ns=11831248000, writes_after_abort=0, helper_nodes=3109066, bestmove=e2a6, other_after_resize=0, exit_cause=helper-abort, tt_reads=4858716, other_after_generation=0, exit_ms=11831}"
"measured","1","1","4","98","3","helper-abort","13","e2a6","3075946","11831229400","259985.323","4851138","3063134","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","{exception=-, reads_after_abort=0, reads_after_clear=0, search_elapsed_ns=11831322700, other_after_abort=0, writes_after_generation=0, abort_ms=11831, after_resize=0, other_after_clear=0, after_generation=0, tt_writes=3063134, reads_after_generation=0, search=98, helper=3, writes_after_clear=0, writes_after_resize=0, bestmove_ms=11831, tt_other=1, event=exit, start_ms=0, completed_depth=13, submit_ms=0, after_abort=0, after_clear=0, reads_after_resize=0, helper_elapsed_ns=11831229400, writes_after_abort=0, helper_nodes=3075946, bestmove=e2a6, other_after_resize=0, exit_cause=helper-abort, tt_reads=4851138, other_after_generation=0, exit_ms=11831}"
"measured","1","2","4","100","2","helper-abort","13","e1d2","6657","7166100","928957.173","14790","6640","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","{exception=-, reads_after_abort=0, reads_after_clear=0, search_elapsed_ns=7256700, other_after_abort=0, writes_after_generation=0, abort_ms=7, after_resize=0, other_after_clear=0, after_generation=0, tt_writes=6640, reads_after_generation=0, search=100, helper=2, writes_after_clear=0, writes_after_resize=0, bestmove_ms=7, tt_other=1, event=exit, start_ms=0, completed_depth=13, submit_ms=0, after_abort=0, after_clear=0, reads_after_resize=0, helper_elapsed_ns=7166100, writes_after_abort=0, helper_nodes=6657, bestmove=e1d2, other_after_resize=0, exit_cause=helper-abort, tt_reads=14790, other_after_generation=0, exit_ms=7}"
"measured","1","2","4","100","3","helper-abort","13","e1d2","6604","7168300","921278.406","14762","6590","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","{exception=-, reads_after_abort=1, reads_after_clear=0, search_elapsed_ns=7256600, other_after_abort=0, writes_after_generation=0, abort_ms=7, after_resize=0, other_after_clear=0, after_generation=0, tt_writes=6590, reads_after_generation=0, search=100, helper=3, writes_after_clear=0, writes_after_resize=0, bestmove_ms=7, tt_other=1, event=exit, start_ms=0, completed_depth=13, submit_ms=0, after_abort=1, after_clear=0, reads_after_resize=0, helper_elapsed_ns=7168300, writes_after_abort=0, helper_nodes=6604, bestmove=e1d2, other_after_resize=0, exit_cause=helper-abort, tt_reads=14762, other_after_generation=0, exit_ms=7}"
