"run_type","pass","position","fen","threads","search","main_depth","main_nodes","main_qnodes","main_tt_hits","main_ttd_ms","main_nps_uci","hashfull_depth13","final_hashfull","main_move","bestmove","bestmove_source","legal","total_nodes","total_nps","drain_elapsed_ns","helpers_submitted","helpers_started","helpers_exited","helper_exceptions","info_line","bestmove_diagnostic"
"measured","1","0","rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1","1","94","13","528398","1218768","145603","1261","419030","372","372","e2e4","e2e4","main-result","true","528398","418753.209","1261836300","0","0","0","0","info depth 13 seldepth 23 score cp 29 nodes 528398 nps 419030 time 1261 hashfull 372 pv e2e4 e7e5 g1f3 g8f6 b1c3 b8c6 d2d4 e5d4 f3d4 c6d4 d1d4 c7c6 f1e2","{move=e2e4, main_pv=e2e4,e7e5,g1f3,g8f6,b1c3,b8c6,d2d4,e5d4,f3d4,c6d4,d1d4,c7c6,f1e2, helper_submitted=0, aborted=false, helper_exited=0, helper_exceptions=0, search_elapsed_ns=1261713000, helper_started=0, main_score_cp=29, main_qnodes=1218768, source=main-result, main_tt_hits=145603, abort_ms=1261, main_move=e2e4, main_nodes=528398, search=94, main_depth=13, legal=true, helper_pending=0, bestmove_ms=1261, event=bestmove, latest_move=e2e4}"
"measured","1","0","rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1","2","95","13","348281","832521","139104","880","395773","387","387","e2e4","e2e4","main-result","true","697028","790514.390","881739800","1","1","1","0","info depth 13 seldepth 23 score cp 29 nodes 348281 nps 395773 time 880 hashfull 387 pv e2e4 e7e5 g1f3 g8f6 b1c3 b8c6 d2d4 e5d4 f3d4 c6d4 d1d4 c7c6 f1e2","{move=e2e4, main_pv=e2e4,e7e5,g1f3,g8f6,b1c3,b8c6,d2d4,e5d4,f3d4,c6d4,d1d4,c7c6,f1e2, helper_submitted=1, aborted=false, helper_exited=1, helper_exceptions=0, search_elapsed_ns=881539600, helper_started=1, main_score_cp=29, main_qnodes=832521, source=main-result, main_tt_hits=139104, abort_ms=881, main_move=e2e4, main_nodes=348281, search=95, main_depth=13, legal=true, helper_pending=0, bestmove_ms=881, event=bestmove, latest_move=e2e4}"
"measured","1","0","rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1","4","96","13","268492","618582","113511","695","386319","542","542","e2e4","e2e4","main-result","true","1070376","1537200.615","696315100","3","3","3","0","info depth 13 seldepth 22 score cp 29 nodes 268492 nps 386319 time 695 hashfull 542 pv e2e4 e7e5 g1f3 b8c6","{move=e2e4, main_pv=e2e4,e7e5,g1f3,b8c6, helper_submitted=3, aborted=false, helper_exited=3, helper_exceptions=0, search_elapsed_ns=696166500, helper_started=3, main_score_cp=29, main_qnodes=618582, source=main-result, main_tt_hits=113511, abort_ms=696, main_move=e2e4, main_nodes=268492, search=96, main_depth=13, legal=true, helper_pending=0, bestmove_ms=696, event=bestmove, latest_move=e2e4}"
"measured","1","1","r3k2r/p1ppqpb1/bn2pnp1/3PN3/1p2P3/2N2Q1p/PPPBBPPP/R3K2R w KQkq - 0 1","2","97","13","4903901","11215848","1006808","16994","288566","999","999","e2a6","e2a6","main-result","true","9671238","569057.888","16995174300","1","1","1","0","info depth 13 seldepth 28 score cp -145 nodes 4903901 nps 288566 time 16994 hashfull 999 pv e2a6 e6d5 c3d5 b6d5 e1c1 h3g2 e4d5 g2h1q d1h1 g7h6 d2h6 e7e5 h6g7 e5g5 c1b1","{move=e2a6, main_pv=e2a6,e6d5,c3d5,b6d5,e1c1,h3g2,e4d5,g2h1q,d1h1,g7h6,d2h6,e7e5,h6g7,e5g5,c1b1, helper_submitted=1, aborted=false, helper_exited=1, helper_exceptions=0, search_elapsed_ns=16995056600, helper_started=1, main_score_cp=-145, main_qnodes=11215848, source=main-result, main_tt_hits=1006808, abort_ms=16995, main_move=e2a6, main_nodes=4903901, search=97, main_depth=13, legal=true, helper_pending=0, bestmove_ms=16995, event=bestmove, latest_move=e2a6}"
"measured","1","1","r3k2r/p1ppqpb1/bn2pnp1/3PN3/1p2P3/2N2Q1p/PPPBBPPP/R3K2R w KQkq - 0 1","4","98","13","3161535","7568833","1302181","11830","267247","998","998","e2a6","e2a6","main-result","true","12406712","1048616.979","11831500200","3","3","3","0","info depth 13 seldepth 28 score cp -145 nodes 3161535 nps 267247 time 11830 hashfull 998 pv e2a6 e6d5 c3d5 b6d5","{move=e2a6, main_pv=e2a6,e6d5,c3d5,b6d5, helper_submitted=3, aborted=false, helper_exited=3, helper_exceptions=0, search_elapsed_ns=11831319800, helper_started=3, main_score_cp=-145, main_qnodes=7568833, source=main-result, main_tt_hits=1302181, abort_ms=11831, main_move=e2a6, main_nodes=3161535, search=98, main_depth=13, legal=true, helper_pending=0, bestmove_ms=11831, event=bestmove, latest_move=e2a6}"
"measured","1","1","r3k2r/p1ppqpb1/bn2pnp1/3PN3/1p2P3/2N2Q1p/PPPBBPPP/R3K2R w KQkq - 0 1","1","99","13","3475078","7660190","475283","11704","296913","925","925","e2a6","e2a6","main-result","true","3475078","296894.641","11704751500","0","0","0","0","info depth 13 seldepth 28 score cp -90 nodes 3475078 nps 296913 time 11704 hashfull 925 pv e2a6 b4c3 d2c3 e6d5 e5g4 h3g2 f3g2 e8f8 c3f6 g7f6 e1c1 f6g5 c1b1 d5e4 h2h4 h8h4","{move=e2a6, main_pv=e2a6,b4c3,d2c3,e6d5,e5g4,h3g2,f3g2,e8f8,c3f6,g7f6,e1c1,f6g5,c1b1,d5e4,h2h4,h8h4, helper_submitted=0, aborted=false, helper_exited=0, helper_exceptions=0, search_elapsed_ns=11704593500, helper_started=0, main_score_cp=-90, main_qnodes=7660190, source=main-result, main_tt_hits=475283, abort_ms=11704, main_move=e2a6, main_nodes=3475078, search=99, main_depth=13, legal=true, helper_pending=0, bestmove_ms=11704, event=bestmove, latest_move=e2a6}"
"measured","1","2","4k3/8/8/8/8/8/4P3/4K3 w - - 5 39","4","100","13","6677","7118","8140","6","1112833","2","2","e1d2","e1d2","main-result","true","26706","3619336.740","7378700","3","3","3","0","info depth 13 seldepth 17 score cp 177 nodes 6677 nps 1112833 time 6 hashfull 2 pv e1d2 e8d7 d2e3 d7d6 e3f4 d6e6 e2e4 e6f6 e4e5 f6g6 f4g4 g6g7 g4f5 g7f7","{move=e1d2, main_pv=e1d2,e8d7,d2e3,d7d6,e3f4,d6e6,e2e4,e6f6,e4e5,f6g6,f4g4,g6g7,g4f5,g7f7, helper_submitted=3, aborted=false, helper_exited=3, helper_exceptions=0, search_elapsed_ns=7255600, helper_started=3, main_score_cp=177, main_qnodes=7118, source=main-result, main_tt_hits=8140, abort_ms=7, main_move=e1d2, main_nodes=6677, search=100, main_depth=13, legal=true, helper_pending=0, bestmove_ms=7, event=bestmove, latest_move=e1d2}"
"measured","1","2","4k3/8/8/8/8/8/4P3/4K3 w - - 5 39","1","101","13","7568","7523","8952","7","1081142","2","2","e1d2","e1d2","main-result","true","7568","944830.772","8009900","0","0","0","0","info depth 13 seldepth 17 score cp 160 nodes 7568 nps 1081142 time 7 hashfull 2 pv e1d2 e8d7 d2e3 d7d6 e3f4 d6e6 e2e4 e6f6 e4e5 f6e7 f4e3 e7d7 e3e4 d7e6","{move=e1d2, main_pv=e1d2,e8d7,d2e3,d7d6,e3f4,d6e6,e2e4,e6f6,e4e5,f6e7,f4e3,e7d7,e3e4,d7e6, helper_submitted=0, aborted=false, helper_exited=0, helper_exceptions=0, search_elapsed_ns=7913200, helper_started=0, main_score_cp=160, main_qnodes=7523, source=main-result, main_tt_hits=8952, abort_ms=7, main_move=e1d2, main_nodes=7568, search=101, main_depth=13, legal=true, helper_pending=0, bestmove_ms=7, event=bestmove, latest_move=e1d2}"
"measured","1","2","4k3/8/8/8/8/8/4P3/4K3 w - - 5 39","2","102","13","6532","6826","8124","6","1088666","3","3","e1d2","e1d2","main-result","true","12582","1819364.914","6915600","1","1","1","0","info depth 13 seldepth 16 score cp 159 nodes 6532 nps 1088666 time 6 hashfull 3 pv e1d2 e8d7 d2e3 d7e6 e3f4 e6e7 e2e4 e7f6 e4e5 f6e7 f4f5 e7d7 f5f6 d7c6","{move=e1d2, main_pv=e1d2,e8d7,d2e3,d7e6,e3f4,e6e7,e2e4,e7f6,e4e5,f6e7,f4f5,e7d7,f5f6,d7c6, helper_submitted=1, aborted=false, helper_exited=1, helper_exceptions=0, search_elapsed_ns=6826100, helper_started=1, main_score_cp=159, main_qnodes=6826, source=main-result, main_tt_hits=8124, abort_ms=6, main_move=e1d2, main_nodes=6532, search=102, main_depth=13, legal=true, helper_pending=0, bestmove_ms=6, event=bestmove, latest_move=e1d2}"
"measured","1","3","r3k2r/Pppp1ppp/1b3nbN/nP6/BBP1P3/q4N2/Pp1P2PP/R2Q1RK1 w kq - 0 1","1","103","13","605659","1501526","198351","2013","300873","375","375","c4c5","c4c5","main-result","true","605659","300672.894","2014345200","0","0","0","0","info depth 13 seldepth 27 score cp -590 nodes 605659 nps 300873 time 2013 hashfull 375 pv c4c5 b6c5 b4c5 a3c5 g1h1 b2a1r d1a1 a8a7 e4e5 f6h5 g2g4 g7h6 g4h5 g6h5 d2d4 c5c4 b5b6","{move=c4c5, main_pv=c4c5,b6c5,b4c5,a3c5,g1h1,b2a1r,d1a1,a8a7,e4e5,f6h5,g2g4,g7h6,g4h5,g6h5,d2d4,c5c4,b5b6, helper_submitted=0, aborted=false, helper_exited=0, helper_exceptions=0, search_elapsed_ns=2014218800, helper_started=0, main_score_cp=-590, main_qnodes=1501526, source=main-result, main_tt_hits=198351, abort_ms=2014, main_move=c4c5, main_nodes=605659, search=103, main_depth=13, legal=true, helper_pending=0, bestmove_ms=2014, event=bestmove, latest_move=c4c5}"
