Timestamp,Process2T_CurrentMB,Process2T_PeakMB,Process1T_CurrentMB,Process1T_PeakMB,Difference_MB,Total_MB
2026-04-10 21:34:39,445.38,460.3,429.07,455.26,16.31,874.45
2026-04-10 21:35:09,434.85,460.3,428.27,455.26,6.58,863.12
2026-04-10 21:35:39,437.51,460.3,428.7,455.26,8.81,866.21
2026-04-10 21:36:09,435.36,460.3,429.89,455.26,5.47,865.25
2026-04-10 21:36:39,434.23,460.3,439.17,455.26,-4.94,873.4
2026-04-10 21:37:09,434.47,460.3,428.88,455.26,5.59,863.35
2026-04-10 21:37:39,434.44,460.3,429.79,455.26,4.65,864.23
2026-04-10 21:38:09,436.57,460.3,431.11,455.26,5.46,867.68
2026-04-10 21:38:39,438.11,460.3,429.24,455.26,8.87,867.35
2026-04-10 21:39:09,435.5,460.3,429.25,455.26,6.25,864.75
2026-04-10 21:39:40,434.23,460.3,430.02,455.26,4.21,864.25
2026-04-10 21:40:10,438.14,460.3,429.16,455.26,8.98,867.3
2026-04-10 21:40:40,438.53,460.3,429.11,455.26,9.42,867.64
2026-04-10 21:41:10,438.55,460.3,429.12,455.26,9.43,867.67
2026-04-10 21:41:40,438.59,460.3,430.77,455.26,7.82,869.36
2026-04-10 21:42:10,434.93,460.3,431.4,455.26,3.53,866.33
2026-04-10 21:42:40,434.95,460.3,431.42,455.26,3.53,866.37
2026-04-10 21:43:10,436.41,460.3,430.76,455.26,5.65,867.17
2026-04-10 21:43:40,435.64,460.3,429.83,455.26,5.81,865.47
2026-04-10 21:44:10,435.53,460.3,432.49,455.26,3.04,868.02
2026-04-10 21:44:40,435.53,460.3,432.5,455.26,3.03,868.03
2026-04-10 21:45:10,435.55,460.3,432.5,455.26,3.05,868.05
2026-04-10 21:45:40,435.93,460.3,432.47,455.26,3.46,868.4
2026-04-10 21:46:10,435.98,460.3,432.49,455.26,3.49,868.47
2026-04-10 21:46:40,436,460.3,432.5,455.26,3.5,868.5
2026-04-10 21:47:10,438.8,460.3,432.5,455.26,6.3,871.3
2026-04-10 21:47:40,438.75,460.3,432.56,455.26,6.19,871.31
2026-04-10 21:48:10,438.76,460.3,433.3,455.26,5.46,872.06
2026-04-10 21:48:40,438.83,460.3,433.26,455.26,5.57,872.09
2026-04-10 21:49:10,438.78,460.3,433.32,455.26,5.46,872.1
2026-04-10 21:49:40,438.96,460.3,433.27,455.26,5.69,872.23
2026-04-10 21:50:10,438.96,460.3,433.28,455.26,5.68,872.24
2026-04-10 21:50:40,438.94,460.3,433.78,455.26,5.16,872.72
2026-04-10 21:51:10,438.95,460.3,433.79,455.26,5.16,872.74
2026-04-10 21:51:40,438.96,460.3,433.79,455.26,5.17,872.75
2026-04-10 21:52:10,438.97,460.3,433.8,455.26,5.17,872.77
2026-04-10 21:52:40,438.98,460.3,433.8,455.26,5.18,872.78
2026-04-10 21:53:10,439.06,460.3,433.75,455.26,5.31,872.81
2026-04-10 21:53:40,439.02,460.3,433.76,455.26,5.26,872.78
2026-04-10 21:54:10,439.03,460.3,433.82,455.26,5.21,872.85
2026-04-10 21:54:40,439.05,460.3,433.82,455.26,5.23,872.87
2026-04-10 21:55:10,436.04,460.3,429.64,458.98,6.4,865.68
2026-04-10 21:55:40,438.57,460.3,430.1,458.98,8.47,868.67
2026-04-10 21:56:10,438.58,460.3,431.63,458.98,6.95,870.21
2026-04-10 21:56:40,438.6,460.3,431.64,458.98,6.96,870.24
2026-04-10 21:57:10,438.66,460.3,431.59,458.98,7.07,870.25
2026-04-10 21:57:40,438.62,460.3,431.6,458.98,7.02,870.22
2026-04-10 21:58:10,438.64,460.3,431.65,458.98,6.99,870.29
2026-04-10 21:58:40,438.64,460.3,431.67,458.98,6.97,870.31
2026-04-10 21:59:10,438.67,460.3,430.02,458.98,8.65,868.69
2026-04-10 21:59:40,438.72,460.3,430.08,458.98,8.64,868.8
2026-04-10 22:00:10,438.78,460.3,430.04,458.98,8.74,868.82
2026-04-10 22:00:41,438.7,460.3,429.91,458.98,8.79,868.61
2026-04-10 22:01:11,438.68,460.3,429.96,458.98,8.72,868.64
2026-04-10 22:01:41,438.7,460.3,429.96,458.98,8.74,868.66
2026-04-10 22:02:11,438.7,460.3,429.96,458.98,8.74,868.66
2026-04-10 22:02:41,438.7,460.3,429.97,458.98,8.73,868.67
2026-04-10 22:03:11,438.77,460.3,429.92,458.98,8.85,868.69
2026-04-10 22:03:41,438.74,460.3,429.98,458.98,8.76,868.72
2026-04-10 22:04:11,452.74,460.3,445.64,458.98,7.1,898.38
2026-04-10 22:04:41,452.75,460.3,429.65,458.98,23.1,882.4
2026-04-10 22:05:11,452.81,460.3,429.6,458.98,23.21,882.41
2026-04-10 22:05:41,446.63,460.3,428.83,458.98,17.8,875.46
2026-04-10 22:06:11,446.64,460.3,428.84,458.98,17.8,875.48
2026-04-10 22:06:41,446.64,460.3,428.84,458.98,17.8,875.48
2026-04-10 22:07:11,446.64,460.3,428.84,458.98,17.8,875.48
2026-04-10 22:07:41,446.65,460.3,428.84,458.98,17.81,875.49
2026-04-10 22:08:11,446.75,460.3,428.78,458.98,17.97,875.53
2026-04-10 22:08:41,446.71,460.3,428.84,458.98,17.87,875.55
2026-04-10 22:09:11,446.72,460.3,428.86,458.98,17.86,875.58
2026-04-10 22:09:41,446.85,460.3,428.8,458.98,18.05,875.65
2026-04-10 22:10:11,446.81,460.3,428.86,458.98,17.95,875.67
2026-04-10 22:10:41,434.82,460.3,414.85,458.98,19.97,849.67
2026-04-10 22:11:11,434.77,460.3,414.9,458.98,19.87,849.67
2026-04-10 22:11:41,435.05,460.3,414.86,458.98,20.19,849.91
2026-04-10 22:12:11,435.07,460.3,414.86,458.98,20.21,849.93
