[TunerMain] Dataset:       C:\Users\yashk\WorkDir\Projects\ChessEngine\chess-engine\engine-tuner\src\test\resources\quiet-labeled-sample.epd
[TunerMain] Max positions: 1020
[TunerMain] Max iters:     500
[TunerMain] Loaded 1,020 positions
[TunerMain] Finding optimal K...
[KFinder] K = 0.500050  (MSE = 0.19615485)
[TunerMain] Running coordinate descent (K=0.500050, maxIters=500)...
[Tuner] start  MSE=0.19615485  params=812  positions=1020
[Tuner] iter   1  MSE=0.19512412  improved=true  time=184ms
[Tuner] iter   2  MSE=0.19416298  improved=true  time=95ms
[Tuner] iter   3  MSE=0.19327123  improved=true  time=80ms
[Tuner] iter   4  MSE=0.19250661  improved=true  time=83ms
[Tuner] iter   5  MSE=0.19187219  improved=true  time=76ms
[Tuner] iter   6  MSE=0.19119060  improved=true  time=73ms
[Tuner] iter   7  MSE=0.19054110  improved=true  time=75ms
[Tuner] iter   8  MSE=0.18989041  improved=true  time=75ms
[Tuner] iter   9  MSE=0.18921891  improved=true  time=76ms
[Tuner] iter  10  MSE=0.18859841  improved=true  time=76ms
[Tuner] iter  11  MSE=0.18803867  improved=true  time=73ms
[Tuner] iter  12  MSE=0.18741326  improved=true  time=75ms
[Tuner] iter  13  MSE=0.18683487  improved=true  time=76ms
[Tuner] iter  14  MSE=0.18627468  improved=true  time=74ms
[Tuner] iter  15  MSE=0.18571796  improved=true  time=75ms
[Tuner] iter  16  MSE=0.18517255  improved=true  time=74ms
[Tuner] iter  17  MSE=0.18462826  improved=true  time=76ms
[Tuner] iter  18  MSE=0.18408439  improved=true  time=76ms
[Tuner] iter  19  MSE=0.18354428  improved=true  time=74ms
[Tuner] iter  20  MSE=0.18296096  improved=true  time=76ms
[Tuner] iter  21  MSE=0.18245790  improved=true  time=75ms
[Tuner] iter  22  MSE=0.18196608  improved=true  time=76ms
[Tuner] iter  23  MSE=0.18146035  improved=true  time=77ms
[Tuner] iter  24  MSE=0.18097786  improved=true  time=75ms
[Tuner] iter  25  MSE=0.18047372  improved=true  time=75ms
[Tuner] iter  26  MSE=0.18004255  improved=true  time=76ms
[Tuner] iter  27  MSE=0.17957948  improved=true  time=76ms
[Tuner] iter  28  MSE=0.17914772  improved=true  time=76ms
[Tuner] iter  29  MSE=0.17873212  improved=true  time=76ms
[Tuner] iter  30  MSE=0.17834700  improved=true  time=76ms
[Tuner] iter  31  MSE=0.17792747  improved=true  time=77ms
[Tuner] iter  32  MSE=0.17752663  improved=true  time=75ms
[Tuner] iter  33  MSE=0.17715699  improved=true  time=77ms
[Tuner] iter  34  MSE=0.17679817  improved=true  time=76ms
[Tuner] iter  35  MSE=0.17644246  improved=true  time=79ms
[Tuner] iter  36  MSE=0.17609071  improved=true  time=80ms
[Tuner] iter  37  MSE=0.17578335  improved=true  time=79ms
[Tuner] iter  38  MSE=0.17551900  improved=true  time=79ms
[Tuner] iter  39  MSE=0.17522223  improved=true  time=79ms
[Tuner] iter  40  MSE=0.17494145  improved=true  time=79ms
[Tuner] iter  41  MSE=0.17471168  improved=true  time=80ms
[Tuner] iter  42  MSE=0.17449322  improved=true  time=78ms
[Tuner] iter  43  MSE=0.17429192  improved=true  time=80ms
[Tuner] iter  44  MSE=0.17410452  improved=true  time=79ms
[Tuner] iter  45  MSE=0.17395479  improved=true  time=80ms
[Tuner] iter  46  MSE=0.17379312  improved=true  time=80ms
[Tuner] iter  47  MSE=0.17365819  improved=true  time=79ms
[Tuner] iter  48  MSE=0.17354054  improved=true  time=78ms
